sup_prop,unsup_prop,unsup_den
0.9,0.96,25
0.6666666666666666,0.9,30
0.9666666666666667,1.0,30
1.0,0.72,25
1.0,1.0,30
1.0,0.8333333333333334,30
0.8333333333333334,0.5333333333333333,30
0.9,1.0,0
